order	#S = immediate (I=1). S = register. #D = immediate (L=1). D = register.  - Assembly Syntax -	- Group -	- Encoding -	- Alias -	* Z = (result == 0). ** If #S and cogex, PC += signed(S). If #S and hubex, PC += signed(S*4). If S, PC = register S.  - Description -	Next Inst Shielded from Interrupt	Clock Cycles (8 cogs)  - Cog Exec Mode - - LUT Exec Mode -	Clock Cycles (8 cogs) * +1 if crosses hub long  - Hub Exec Mode -	Clock Cycles (16 cogs)  - Cog Exec Mode - - LUT Exec Mode -	Clock Cyles (16 cogs) * +1 if crosses hub long  - Hub Exec Mode -	* Data not forwarded.  - Register Write -	- Hub R/W -	- Stack R/W -
107	ALTSB   D	Register Indirection	EEEE 1001011 001 DDDDDDDDD 000000000	alias	Alter subsequent SETBYTE instruction. Next D field = D[10:2], N field = D[1:0].	✔	2	same	2	same	D		
108	ALTGB   D,{#}S	Register Indirection	EEEE 1001011 01I DDDDDDDDD SSSSSSSSS	.	Alter subsequent GETBYTE/ROLBYTE instruction. Next S field = (D[10:2] + S) & $1FF, N field = D[1:0]. D += sign-extended S[17:9].	✔	2	same	2	same	D		
109	ALTGB   D	Register Indirection	EEEE 1001011 011 DDDDDDDDD 000000000	alias	Alter subsequent GETBYTE/ROLBYTE instruction. Next S field = D[10:2], N field = D[1:0].	✔	2	same	2	same	D		
110	ALTSW   D,{#}S	Register Indirection	EEEE 1001011 10I DDDDDDDDD SSSSSSSSS	.	Alter subsequent SETWORD instruction. Next D field = (D[9:1] + S) & $1FF, N field = D[0].            D += sign-extended S[17:9].	✔	2	same	2	same	D		
111	ALTSW   D	Register Indirection	EEEE 1001011 101 DDDDDDDDD 000000000	alias	Alter subsequent SETWORD instruction. Next D field = D[9:1], N field = D[0].	✔	2	same	2	same	D		
112	ALTGW   D,{#}S	Register Indirection	EEEE 1001011 11I DDDDDDDDD SSSSSSSSS	.	Alter subsequent GETWORD/ROLWORD instruction. Next S field = ((D[9:1] + S) & $1FF), N field = D[0].  D += sign-extended S[17:9].	✔	2	same	2	same	D		
113	ALTGW   D	Register Indirection	EEEE 1001011 111 DDDDDDDDD 000000000	alias	Alter subsequent GETWORD/ROLWORD instruction. Next S field = D[9:1], N field = D[0].	✔	2	same	2	same	D		
114	ALTR    D,{#}S	Register Indirection	EEEE 1001100 00I DDDDDDDDD SSSSSSSSS	.	Alter result register address (normally D field) of next instruction to (D + S) & $1FF.              D += sign-extended S[17:9].	✔	2	same	2	same	D		
115	ALTR    D	Register Indirection	EEEE 1001100 001 DDDDDDDDD 000000000	alias	Alter result register address (normally D field) of next instruction to D[8:0].	✔	2	same	2	same	D		
116	ALTD    D,{#}S	Register Indirection	EEEE 1001100 01I DDDDDDDDD SSSSSSSSS	.	Alter D field of next instruction to (D + S) & $1FF.                                                 D += sign-extended S[17:9].	✔	2	same	2	same	D		
117	ALTD    D	Register Indirection	EEEE 1001100 011 DDDDDDDDD 000000000	alias	Alter D field of next instruction to D[8:0].	✔	2	same	2	same	D		
118	ALTS    D,{#}S	Register Indirection	EEEE 1001100 10I DDDDDDDDD SSSSSSSSS	.	Alter S field of next instruction to (D + S) & $1FF.                                                 D += sign-extended S[17:9].	✔	2	same	2	same	D		
119	ALTS    D	Register Indirection	EEEE 1001100 101 DDDDDDDDD 000000000	alias	Alter S field of next instruction to D[8:0].	✔	2	same	2	same	D		
120	ALTB    D,{#}S	Register Indirection	EEEE 1001100 11I DDDDDDDDD SSSSSSSSS	.	Alter D field of next instruction to (D[13:5] + S) & $1FF.                                           D += sign-extended S[17:9].	✔	2	same	2	same	D		
121	ALTB    D	Register Indirection	EEEE 1001100 111 DDDDDDDDD 000000000	alias	Alter D field of next instruction to D[13:5].	✔	2	same	2	same	D		
122	ALTI    D,{#}S	Register Indirection	EEEE 1001101 00I DDDDDDDDD SSSSSSSSS	.	Substitute next instruction's I/R/D/S fields with fields from D, per S. Modify D per S.	✔	2	same	2	same	D		
123	ALTI    D	Register Indirection	EEEE 1001101 001 DDDDDDDDD 101100100	alias	Execute D in place of next instruction. D stays same.	✔	2	same	2	same	D		
124	SETR    D,{#}S	Math and Logic	EEEE 1001101 01I DDDDDDDDD SSSSSSSSS	.	Set R field of D to S[8:0]. D = {D[31:28], S[8:0], D[18:0]}.		2	same	2	same	D		
125	SETD    D,{#}S	Math and Logic	EEEE 1001101 10I DDDDDDDDD SSSSSSSSS	.	Set D field of D to S[8:0]. D = {D[31:18], S[8:0], D[8:0]}.		2	same	2	same	D		
126	SETS    D,{#}S	Math and Logic	EEEE 1001101 11I DDDDDDDDD SSSSSSSSS	.	Set S field of D to S[8:0]. D = {D[31:9], S[8:0]}.		2	same	2	same	D		
127	DECOD   D,{#}S	Math and Logic	EEEE 1001110 00I DDDDDDDDD SSSSSSSSS	.	Decode S[4:0] into D. D = 1 << S[4:0].		2	same	2	same	D		
128	DECOD   D	Math and Logic	EEEE 1001110 000 DDDDDDDDD DDDDDDDDD	alias	Decode D[4:0] into D. D = 1 << D[4:0].		2	same	2	same	D		
129	BMASK   D,{#}S	Math and Logic	EEEE 1001110 01I DDDDDDDDD SSSSSSSSS	.	Get LSB-justified bit mask of size (S[4:0] + 1) into D. D = ($0000_0002 << S[4:0]) - 1.		2	same	2	same	D		
130	BMASK   D	Math and Logic	EEEE 1001110 010 DDDDDDDDD DDDDDDDDD	alias	Get LSB-justified bit mask of size (D[4:0] + 1) into D. D = ($0000_0002 << D[4:0]) - 1.		2	same	2	same	D		
131	CRCBIT  D,{#}S	Math and Logic	EEEE 1001110 10I DDDDDDDDD SSSSSSSSS	.	Iterate CRC value in D using C and polynomial in S. If (C XOR D[0]) then D = (D >> 1) XOR S, else D = (D >> 1).		2	same	2	same	D		
132	CRCNIB  D,{#}S	Math and Logic	EEEE 1001110 11I DDDDDDDDD SSSSSSSSS	.	Iterate CRC value in D using Q[31:28] and polynomial in S. Like CRCBIT, but 4x. Q = Q << 4. Use SETQ+CRCNIB+CRCNIB+CRCNIB...	✔	2	same	2	same	D		
133	MUXNITS D,{#}S	Math and Logic	EEEE 1001111 00I DDDDDDDDD SSSSSSSSS	.	For each non-zero bit pair in S, copy that bit pair into the corresponding D bits, else leave that D bit pair the same.		2	same	2	same	D		
134	MUXNIBS D,{#}S	Math and Logic	EEEE 1001111 01I DDDDDDDDD SSSSSSSSS	.	For each non-zero nibble in S, copy that nibble into the corresponding D nibble, else leave that D nibble the same.		2	same	2	same	D		
135	MUXQ    D,{#}S	Math and Logic	EEEE 1001111 10I DDDDDDDDD SSSSSSSSS	.	Used after SETQ. For each '1' bit in Q, copy the corresponding bit in S into D. D = (D & !Q) | (S & Q).		2	same	2	same	D		
136	MOVBYTS D,{#}S	Math and Logic	EEEE 1001111 11I DDDDDDDDD SSSSSSSSS	.	Move bytes within D, per S. D = {D.BYTE[S[7:6]], D.BYTE[S[5:4]], D.BYTE[S[3:2]], D.BYTE[S[1:0]]}.		2	same	2	same	D		
137	MUL     D,{#}S          {WZ}	Math and Logic	EEEE 1010000 0ZI DDDDDDDDD SSSSSSSSS	.	D = unsigned (D[15:0] * S[15:0]). Z = (S == 0) | (D == 0).		2	same	2	same	D		
138	MULS    D,{#}S          {WZ}	Math and Logic	EEEE 1010000 1ZI DDDDDDDDD SSSSSSSSS	.	D = signed (D[15:0] * S[15:0]).   Z = (S == 0) | (D == 0).		2	same	2	same	D		
139	SCA     D,{#}S          {WZ}	Math and Logic	EEEE 1010001 0ZI DDDDDDDDD SSSSSSSSS	.	Next instruction's S value = unsigned (D[15:0] * S[15:0]) >> 16. *	✔	2	same	2	same			
140	SCAS    D,{#}S          {WZ}	Math and Logic	EEEE 1010001 1ZI DDDDDDDDD SSSSSSSSS	.	Next instruction's S value = signed (D[15:0] * S[15:0]) >> 14. In this scheme, $4000 = 1.0 and $C000 = -1.0. *	✔	2	same	2	same			
141	ADDPIX  D,{#}S	Pixel Mixer	EEEE 1010010 00I DDDDDDDDD SSSSSSSSS	.	Add bytes of S into bytes of D, with $FF saturation.		7	same	7	same	D		
142	MULPIX  D,{#}S	Pixel Mixer	EEEE 1010010 01I DDDDDDDDD SSSSSSSSS	.	Multiply bytes of S into bytes of D, where $FF = 1.0.		7	same	7	same	D		
143	BLNPIX  D,{#}S	Pixel Mixer	EEEE 1010010 10I DDDDDDDDD SSSSSSSSS	.	Alpha-blend bytes of S into bytes of D, using SETPIV value.		7	same	7	same	D		
144	MIXPIX  D,{#}S	Pixel Mixer	EEEE 1010010 11I DDDDDDDDD SSSSSSSSS	.	Mix bytes of S into bytes of D, using SETPIX and SETPIV values.		7	same	7	same	D		
145	ADDCT1  D,{#}S	Events - Configuration	EEEE 1010011 00I DDDDDDDDD SSSSSSSSS	.	Set CT1 event to trigger on CT = D + S. Adds S into D.		2	same	2	same	D		
146	ADDCT2  D,{#}S	Events - Configuration	EEEE 1010011 01I DDDDDDDDD SSSSSSSSS	.	Set CT2 event to trigger on CT = D + S. Adds S into D.		2	same	2	same	D		
147	ADDCT3  D,{#}S	Events - Configuration	EEEE 1010011 10I DDDDDDDDD SSSSSSSSS	.	Set CT3 event to trigger on CT = D + S. Adds S into D.		2	same	2	same	D		
148	WMLONG  D,{#}S/P	Hub RAM - Write	EEEE 1010011 11I DDDDDDDDD SSSSSSSSS	.	Write only non-$00 bytes in D[31:0] to hub address {#}S/PTRx.     Prior SETQ/SETQ2 invokes cog/LUT block transfer.		3...10 *	3...20 *	3...18 *	3...38 *		Write	
149	RQPIN   D,{#}S          {WC}	Smart Pins	EEEE 1010100 C0I DDDDDDDDD SSSSSSSSS	.	Read smart pin S[5:0] result "Z" into D, don't acknowledge smart pin ("Q" in RQPIN means "quiet"). C = modal result.		2	same	2	same	D		
150	RDPIN   D,{#}S          {WC}	Smart Pins	EEEE 1010100 C1I DDDDDDDDD SSSSSSSSS	.	Read smart pin S[5:0] result "Z" into D, acknowledge smart pin. C = modal result.		2	same	2	same	D		
151	RDLUT   D,{#}S/P {WC/WZ/WCZ}	Lookup Table	EEEE 1010101 CZI DDDDDDDDD SSSSSSSSS	.	Read data from LUT address {#}S/PTRx into D. C = MSB of data. *		3	same	3	same	D		
152	RDBYTE  D,{#}S/P {WC/WZ/WCZ}	Hub RAM - Read	EEEE 1010110 CZI DDDDDDDDD SSSSSSSSS	.	Read zero-extended byte from hub address {#}S/PTRx into D. C = MSB of byte. *		9...16	9...26	9...24	9...44	D	Read	
153	RDWORD  D,{#}S/P {WC/WZ/WCZ}	Hub RAM - Read	EEEE 1010111 CZI DDDDDDDDD SSSSSSSSS	.	Read zero-extended word from hub address {#}S/PTRx into D. C = MSB of word. *		9...16 *	9...26 *	9...24 *	9...44 *	D	Read	
154	RDLONG  D,{#}S/P {WC/WZ/WCZ}	Hub RAM - Read	EEEE 1011000 CZI DDDDDDDDD SSSSSSSSS	.	Read long from hub address {#}S/PTRx into D. C = MSB of long. *   Prior SETQ/SETQ2 invokes cog/LUT block transfer.		9...16 *	9...26 *	9...24 *	9...44 *	D	Read	
155	POPA    D        {WC/WZ/WCZ}	Hub RAM - Read	EEEE 1011000 CZ1 DDDDDDDDD 101011111	alias	Read long from hub address --PTRA into D. C = MSB of long. *		9...16 *	9...26 *	9...24 *	9...44 *	D	Read	
156	POPB    D        {WC/WZ/WCZ}	Hub RAM - Read	EEEE 1011000 CZ1 DDDDDDDDD 111011111	alias	Read long from hub address --PTRB into D. C = MSB of long. *		9...16 *	9...26 *	9...24 *	9...44 *	D	Read	
157	CALLD   D,{#}S   {WC/WZ/WCZ}	Branch S - Call	EEEE 1011001 CZI DDDDDDDDD SSSSSSSSS	.	Call to S** by writing {C, Z, 10'b0, PC[19:0]} to D.                    C = S[31], Z = S[30].		4	13...20	4	13...28	D		
158	RESI3	Branch S - Resume	EEEE 1011001 110 111110000 111110001	alias	Resume from INT3. (CALLD $1F0,$1F1 WCZ)		4	13...20	4	13...28	D		
159	RESI2	Branch S - Resume	EEEE 1011001 110 111110010 111110011	alias	Resume from INT2. (CALLD $1F2,$1F3 WCZ)		4	13...20	4	13...28	D		
160	RESI1	Branch S - Resume	EEEE 1011001 110 111110100 111110101	alias	Resume from INT1. (CALLD $1F4,$1F5 WCZ)		4	13...20	4	13...28	D		
161	RESI0	Branch S - Resume	EEEE 1011001 110 111111110 111111111	alias	Resume from INT0. (CALLD $1FE,$1FF WCZ)		4	13...20	4	13...28	D		
162	RETI3	Branch S - Return	EEEE 1011001 110 111111111 111110001	alias	Return from INT3. (CALLD $1FF,$1F1 WCZ)		4	13...20	4	13...28	D		
163	RETI2	Branch S - Return	EEEE 1011001 110 111111111 111110011	alias	Return from INT2. (CALLD $1FF,$1F3 WCZ)		4	13...20	4	13...28	D		
164	RETI1	Branch S - Return	EEEE 1011001 110 111111111 111110101	alias	Return from INT1. (CALLD $1FF,$1F5 WCZ)		4	13...20	4	13...28	D		
165	RETI0	Branch S - Return	EEEE 1011001 110 111111111 111111111	alias	Return from INT0. (CALLD $1FF,$1FF WCZ)		4	13...20	4	13...28	D		
166	CALLPA  {#}D,{#}S	Branch S - Call	EEEE 1011010 0LI DDDDDDDDD SSSSSSSSS	.	Call to S** by pushing {C, Z, 10'b0, PC[19:0]} onto stack, copy D to PA.		4	13...20	4	13...28	PA		Push
167	CALLPB  {#}D,{#}S	Branch S - Call	EEEE 1011010 1LI DDDDDDDDD SSSSSSSSS	.	Call to S** by pushing {C, Z, 10'b0, PC[19:0]} onto stack, copy D to PB.		4	13...20	4	13...28	PB		Push
168	DJZ     D,{#}S	Branch S - Mod & Test	EEEE 1011011 00I DDDDDDDDD SSSSSSSSS	.	Decrement D and jump to S** if result is zero.		2 or 4	2 or 13...20	2 or 4	2 or 13...28	D		
169	DJNZ    D,{#}S	Branch S - Mod & Test	EEEE 1011011 01I DDDDDDDDD SSSSSSSSS	.	Decrement D and jump to S** if result is not zero.		2 or 4	2 or 13...20	2 or 4	2 or 13...28	D		
170	DJF     D,{#}S	Branch S - Mod & Test	EEEE 1011011 10I DDDDDDDDD SSSSSSSSS	.	Decrement D and jump to S** if result is $FFFF_FFFF.		2 or 4	2 or 13...20	2 or 4	2 or 13...28	D		
171	DJNF    D,{#}S	Branch S - Mod & Test	EEEE 1011011 11I DDDDDDDDD SSSSSSSSS	.	Decrement D and jump to S** if result is not $FFFF_FFFF.		2 or 4	2 or 13...20	2 or 4	2 or 13...28	D		
172	IJZ     D,{#}S	Branch S - Mod & Test	EEEE 1011100 00I DDDDDDDDD SSSSSSSSS	.	Increment D and jump to S** if result is zero.		2 or 4	2 or 13...20	2 or 4	2 or 13...28	D		
173	IJNZ    D,{#}S	Branch S - Mod & Test	EEEE 1011100 01I DDDDDDDDD SSSSSSSSS	.	Increment D and jump to S** if result is not zero.		2 or 4	2 or 13...20	2 or 4	2 or 13...28	D		
174	TJZ     D,{#}S	Branch S - Test	EEEE 1011100 10I DDDDDDDDD SSSSSSSSS	.	Test D and jump to S** if D is zero.		2 or 4	2 or 13...20	2 or 4	2 or 13...28			
175	TJNZ    D,{#}S	Branch S - Test	EEEE 1011100 11I DDDDDDDDD SSSSSSSSS	.	Test D and jump to S** if D is not zero.		2 or 4	2 or 13...20	2 or 4	2 or 13...28			
176	TJF     D,{#}S	Branch S - Test	EEEE 1011101 00I DDDDDDDDD SSSSSSSSS	.	Test D and jump to S** if D is full (D = $FFFF_FFFF).		2 or 4	2 or 13...20	2 or 4	2 or 13...28			
177	TJNF    D,{#}S	Branch S - Test	EEEE 1011101 01I DDDDDDDDD SSSSSSSSS	.	Test D and jump to S** if D is not full (D != $FFFF_FFFF).		2 or 4	2 or 13...20	2 or 4	2 or 13...28			
178	TJS     D,{#}S	Branch S - Test	EEEE 1011101 10I DDDDDDDDD SSSSSSSSS	.	Test D and jump to S** if D is signed (D[31] = 1).		2 or 4	2 or 13...20	2 or 4	2 or 13...28			
179	TJNS    D,{#}S	Branch S - Test	EEEE 1011101 11I DDDDDDDDD SSSSSSSSS	.	Test D and jump to S** if D is not signed (D[31] = 0).		2 or 4	2 or 13...20	2 or 4	2 or 13...28			
180	TJV     D,{#}S	Branch S - Test	EEEE 1011110 00I DDDDDDDDD SSSSSSSSS	.	Test D and jump to S** if D overflowed (D[31] != C, C = 'correct sign' from last addition/subtraction).		2 or 4	2 or 13...20	2 or 4	2 or 13...28			
181	JINT    {#}S	Events - Branch	EEEE 1011110 01I 000000000 SSSSSSSSS	.	Jump to S** if INT event flag is set.		2 or 4	2 or 13...20	2 or 4	2 or 13...28			
182	JCT1    {#}S	Events - Branch	EEEE 1011110 01I 000000001 SSSSSSSSS	.	Jump to S** if CT1 event flag is set.		2 or 4	2 or 13...20	2 or 4	2 or 13...28			
183	JCT2    {#}S	Events - Branch	EEEE 1011110 01I 000000010 SSSSSSSSS	.	Jump to S** if CT2 event flag is set.		2 or 4	2 or 13...20	2 or 4	2 or 13...28			
184	JCT3    {#}S	Events - Branch	EEEE 1011110 01I 000000011 SSSSSSSSS	.	Jump to S** if CT3 event flag is set.		2 or 4	2 or 13...20	2 or 4	2 or 13...28			
185	JSE1    {#}S	Events - Branch	EEEE 1011110 01I 000000100 SSSSSSSSS	.	Jump to S** if SE1 event flag is set.		2 or 4	2 or 13...20	2 or 4	2 or 13...28			
186	JSE2    {#}S	Events - Branch	EEEE 1011110 01I 000000101 SSSSSSSSS	.	Jump to S** if SE2 event flag is set.		2 or 4	2 or 13...20	2 or 4	2 or 13...28			
187	JSE3    {#}S	Events - Branch	EEEE 1011110 01I 000000110 SSSSSSSSS	.	Jump to S** if SE3 event flag is set.		2 or 4	2 or 13...20	2 or 4	2 or 13...28			
188	JSE4    {#}S	Events - Branch	EEEE 1011110 01I 000000111 SSSSSSSSS	.	Jump to S** if SE4 event flag is set.		2 or 4	2 or 13...20	2 or 4	2 or 13...28			
189	JPAT    {#}S	Events - Branch	EEEE 1011110 01I 000001000 SSSSSSSSS	.	Jump to S** if PAT event flag is set.		2 or 4	2 or 13...20	2 or 4	2 or 13...28			
190	JFBW    {#}S	Events - Branch	EEEE 1011110 01I 000001001 SSSSSSSSS	.	Jump to S** if FBW event flag is set.		2 or 4	2 or 13...20	2 or 4	2 or 13...28			
191	JXMT    {#}S	Events - Branch	EEEE 1011110 01I 000001010 SSSSSSSSS	.	Jump to S** if XMT event flag is set.		2 or 4	2 or 13...20	2 or 4	2 or 13...28			
192	JXFI    {#}S	Events - Branch	EEEE 1011110 01I 000001011 SSSSSSSSS	.	Jump to S** if XFI event flag is set.		2 or 4	2 or 13...20	2 or 4	2 or 13...28			
193	JXRO    {#}S	Events - Branch	EEEE 1011110 01I 000001100 SSSSSSSSS	.	Jump to S** if XRO event flag is set.		2 or 4	2 or 13...20	2 or 4	2 or 13...28			
194	JXRL    {#}S	Events - Branch	EEEE 1011110 01I 000001101 SSSSSSSSS	.	Jump to S** if XRL event flag is set.		2 or 4	2 or 13...20	2 or 4	2 or 13...28			
195	JATN    {#}S	Events - Branch	EEEE 1011110 01I 000001110 SSSSSSSSS	.	Jump to S** if ATN event flag is set.		2 or 4	2 or 13...20	2 or 4	2 or 13...28			
196	JQMT    {#}S	Events - Branch	EEEE 1011110 01I 000001111 SSSSSSSSS	.	Jump to S** if QMT event flag is set.		2 or 4	2 or 13...20	2 or 4	2 or 13...28			
197	JNINT   {#}S	Events - Branch	EEEE 1011110 01I 000010000 SSSSSSSSS	.	Jump to S** if INT event flag is clear.		2 or 4	2 or 13...20	2 or 4	2 or 13...28			
198	JNCT1   {#}S	Events - Branch	EEEE 1011110 01I 000010001 SSSSSSSSS	.	Jump to S** if CT1 event flag is clear.		2 or 4	2 or 13...20	2 or 4	2 or 13...28			
199	JNCT2   {#}S	Events - Branch	EEEE 1011110 01I 000010010 SSSSSSSSS	.	Jump to S** if CT2 event flag is clear.		2 or 4	2 or 13...20	2 or 4	2 or 13...28			
200	JNCT3   {#}S	Events - Branch	EEEE 1011110 01I 000010011 SSSSSSSSS	.	Jump to S** if CT3 event flag is clear.		2 or 4	2 or 13...20	2 or 4	2 or 13...28			
201	JNSE1   {#}S	Events - Branch	EEEE 1011110 01I 000010100 SSSSSSSSS	.	Jump to S** if SE1 event flag is clear.		2 or 4	2 or 13...20	2 or 4	2 or 13...28			
202	JNSE2   {#}S	Events - Branch	EEEE 1011110 01I 000010101 SSSSSSSSS	.	Jump to S** if SE2 event flag is clear.		2 or 4	2 or 13...20	2 or 4	2 or 13...28			
203	JNSE3   {#}S	Events - Branch	EEEE 1011110 01I 000010110 SSSSSSSSS	.	Jump to S** if SE3 event flag is clear.		2 or 4	2 or 13...20	2 or 4	2 or 13...28			
204	JNSE4   {#}S	Events - Branch	EEEE 1011110 01I 000010111 SSSSSSSSS	.	Jump to S** if SE4 event flag is clear.		2 or 4	2 or 13...20	2 or 4	2 or 13...28			
205	JNPAT   {#}S	Events - Branch	EEEE 1011110 01I 000011000 SSSSSSSSS	.	Jump to S** if PAT event flag is clear.		2 or 4	2 or 13...20	2 or 4	2 or 13...28			
206	JNFBW   {#}S	Events - Branch	EEEE 1011110 01I 000011001 SSSSSSSSS	.	Jump to S** if FBW event flag is clear.		2 or 4	2 or 13...20	2 or 4	2 or 13...28			
207	JNXMT   {#}S	Events - Branch	EEEE 1011110 01I 000011010 SSSSSSSSS	.	Jump to S** if XMT event flag is clear.		2 or 4	2 or 13...20	2 or 4	2 or 13...28			
208	JNXFI   {#}S	Events - Branch	EEEE 1011110 01I 000011011 SSSSSSSSS	.	Jump to S** if XFI event flag is clear.		2 or 4	2 or 13...20	2 or 4	2 or 13...28			
209	JNXRO   {#}S	Events - Branch	EEEE 1011110 01I 000011100 SSSSSSSSS	.	Jump to S** if XRO event flag is clear.		2 or 4	2 or 13...20	2 or 4	2 or 13...28			
210	JNXRL   {#}S	Events - Branch	EEEE 1011110 01I 000011101 SSSSSSSSS	.	Jump to S** if XRL event flag is clear.		2 or 4	2 or 13...20	2 or 4	2 or 13...28			
211	JNATN   {#}S	Events - Branch	EEEE 1011110 01I 000011110 SSSSSSSSS	.	Jump to S** if ATN event flag is clear.		2 or 4	2 or 13...20	2 or 4	2 or 13...28			
212	JNQMT   {#}S	Events - Branch	EEEE 1011110 01I 000011111 SSSSSSSSS	.	Jump to S** if QMT event flag is clear.		2 or 4	2 or 13...20	2 or 4	2 or 13...28			
213	<empty> {#}D,{#}S	Miscellaneous	EEEE 1011110 1LI DDDDDDDDD SSSSSSSSS		<empty>								
214	<empty> {#}D,{#}S	Miscellaneous	EEEE 1011111 0LI DDDDDDDDD SSSSSSSSS	.	<empty>								
215	SETPAT  {#}D,{#}S	Events - Configuration	EEEE 1011111 1LI DDDDDDDDD SSSSSSSSS	.	Set pin pattern for PAT event. C selects INA/INB, Z selects =/!=, D provides mask value, S provides match value.		2	same	2	same			
216	AKPIN   {#}S	Smart Pins	EEEE 1100000 01I 000000001 SSSSSSSSS	alias	Acknowledge smart pins S[10:6]+S[5:0]..S[5:0].                              Wraps within A/B pins. Prior SETQ overrides S[10:6].		2	same	2	same			
217	WRPIN   {#}D,{#}S	Smart Pins	EEEE 1100000 0LI DDDDDDDDD SSSSSSSSS	.	Set mode of smart pins S[10:6]+S[5:0]..S[5:0] to D, acknowledge smart pins. Wraps within A/B pins. Prior SETQ overrides S[10:6].		2	same	2	same			
218	WXPIN   {#}D,{#}S	Smart Pins	EEEE 1100000 1LI DDDDDDDDD SSSSSSSSS	.	Set "X"  of smart pins S[10:6]+S[5:0]..S[5:0] to D, acknowledge smart pins. Wraps within A/B pins. Prior SETQ overrides S[10:6].		2	same	2	same			
219	WYPIN   {#}D,{#}S	Smart Pins	EEEE 1100001 0LI DDDDDDDDD SSSSSSSSS	.	Set "Y"  of smart pins S[10:6]+S[5:0]..S[5:0] to D, acknowledge smart pins. Wraps within A/B pins. Prior SETQ overrides S[10:6].		2	same	2	same			
220	WRLUT   {#}D,{#}S/P	Lookup Table	EEEE 1100001 1LI DDDDDDDDD SSSSSSSSS	.	Write D to LUT address {#}S/PTRx.		2	same	2	same			
221	WRBYTE  {#}D,{#}S/P	Hub RAM - Write	EEEE 1100010 0LI DDDDDDDDD SSSSSSSSS	.	Write byte in D[7:0] to hub address {#}S/PTRx.		3...10	3...20	3...18	3...38		Write	
222	WRWORD  {#}D,{#}S/P	Hub RAM - Write	EEEE 1100010 1LI DDDDDDDDD SSSSSSSSS	.	Write word in D[15:0] to hub address {#}S/PTRx.		3...10*	3...20 *	3...18 *	3...38 *		Write	
223	WRLONG  {#}D,{#}S/P	Hub RAM - Write	EEEE 1100011 0LI DDDDDDDDD SSSSSSSSS	.	Write long in D[31:0] to hub address {#}S/PTRx.                   Prior SETQ/SETQ2 invokes cog/LUT block transfer.		3...10*	3...20 *	3...18 *	3...38 *		Write	
224	PUSHA   {#}D	Hub RAM - Write	EEEE 1100011 0L1 DDDDDDDDD 101100001	alias	Write long in D[31:0] to hub address PTRA++.		3...10*	3...20 *	3...18 *	3...38 *		Write	
225	PUSHB   {#}D	Hub RAM - Write	EEEE 1100011 0L1 DDDDDDDDD 111100001	alias	Write long in D[31:0] to hub address PTRB++.		3...10*	3...20 *	3...18 *	3...38 *		Write	
