order	#S = immediate (I=1). S = register. #D = immediate (L=1). D = register.  - Assembly Syntax -	- Group -	- Encoding -	- Alias -	* Z = (result == 0). ** If #S and cogex, PC += signed(S). If #S and hubex, PC += signed(S*4). If S, PC = register S.  - Description -	Next Inst Shielded from Interrupt	Clock Cycles (8 cogs)  - Cog Exec Mode - - LUT Exec Mode -	Clock Cycles (8 cogs) * +1 if crosses hub long  - Hub Exec Mode -	Clock Cycles (16 cogs)  - Cog Exec Mode - - LUT Exec Mode -	Clock Cyles (16 cogs) * +1 if crosses hub long  - Hub Exec Mode -	* Data not forwarded.  - Register Write -	- Hub R/W -	- Stack R/W -
342	TESTPN  {#}D           WC/WZ	Pins	EEEE 1101011 CZL DDDDDDDDD 001000001	.	Test !IN bit of pin D[5:0], write to C/Z. C/Z =         !IN[D[5:0]].		2	same	2	same			
343	TESTP   {#}D       ANDC/ANDZ	Pins	EEEE 1101011 CZL DDDDDDDDD 001000010	.	Test  IN bit of pin D[5:0], AND into C/Z. C/Z = C/Z AND  IN[D[5:0]].		2	same	2	same			
344	TESTPN  {#}D       ANDC/ANDZ	Pins	EEEE 1101011 CZL DDDDDDDDD 001000011	.	Test !IN bit of pin D[5:0], AND into C/Z. C/Z = C/Z AND !IN[D[5:0]].		2	same	2	same			
345	TESTP   {#}D         ORC/ORZ	Pins	EEEE 1101011 CZL DDDDDDDDD 001000100	.	Test  IN bit of pin D[5:0], OR  into C/Z. C/Z = C/Z OR   IN[D[5:0]].		2	same	2	same			
346	TESTPN  {#}D         ORC/ORZ	Pins	EEEE 1101011 CZL DDDDDDDDD 001000101	.	Test !IN bit of pin D[5:0], OR  into C/Z. C/Z = C/Z OR  !IN[D[5:0]].		2	same	2	same			
347	TESTP   {#}D       XORC/XORZ	Pins	EEEE 1101011 CZL DDDDDDDDD 001000110	.	Test  IN bit of pin D[5:0], XOR into C/Z. C/Z = C/Z XOR  IN[D[5:0]].		2	same	2	same			
348	TESTPN  {#}D       XORC/XORZ	Pins	EEEE 1101011 CZL DDDDDDDDD 001000111	.	Test !IN bit of pin D[5:0], XOR into C/Z. C/Z = C/Z XOR !IN[D[5:0]].		2	same	2	same			
349	DIRL    {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001000000	.	DIR bits of pins D[10:6]+D[5:0]..D[5:0] = 0.                  Wraps within DIRA/DIRB. Prior SETQ overrides D[10:6]. C,Z = DIR bit.		2	same	2	same	DIRx		
350	DIRH    {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001000001	.	DIR bits of pins D[10:6]+D[5:0]..D[5:0] = 1.                  Wraps within DIRA/DIRB. Prior SETQ overrides D[10:6]. C,Z = DIR bit.		2	same	2	same	DIRx		
351	DIRC    {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001000010	.	DIR bits of pins D[10:6]+D[5:0]..D[5:0] = C.                  Wraps within DIRA/DIRB. Prior SETQ overrides D[10:6]. C,Z = DIR bit.		2	same	2	same	DIRx		
352	DIRNC   {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001000011	.	DIR bits of pins D[10:6]+D[5:0]..D[5:0] = !C.                 Wraps within DIRA/DIRB. Prior SETQ overrides D[10:6]. C,Z = DIR bit.		2	same	2	same	DIRx		
353	DIRZ    {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001000100	.	DIR bits of pins D[10:6]+D[5:0]..D[5:0] = Z.                  Wraps within DIRA/DIRB. Prior SETQ overrides D[10:6]. C,Z = DIR bit.		2	same	2	same	DIRx		
354	DIRNZ   {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001000101	.	DIR bits of pins D[10:6]+D[5:0]..D[5:0] = !Z.                 Wraps within DIRA/DIRB. Prior SETQ overrides D[10:6]. C,Z = DIR bit.		2	same	2	same	DIRx		
355	DIRRND  {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001000110	.	DIR bits of pins D[10:6]+D[5:0]..D[5:0] = RNDs.               Wraps within DIRA/DIRB. Prior SETQ overrides D[10:6]. C,Z = DIR bit.		2	same	2	same	DIRx		
356	DIRNOT  {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001000111	.	Toggle DIR bits of pins D[10:6]+D[5:0]..D[5:0].               Wraps within DIRA/DIRB. Prior SETQ overrides D[10:6]. C,Z = DIR bit.		2	same	2	same	DIRx		
357	OUTL    {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001001000	.	OUT bits of pins D[10:6]+D[5:0]..D[5:0] = 0.                  Wraps within OUTA/OUTB. Prior SETQ overrides D[10:6]. C,Z = OUT bit.		2	same	2	same	OUTx		
358	OUTH    {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001001001	.	OUT bits of pins D[10:6]+D[5:0]..D[5:0] = 1.                  Wraps within OUTA/OUTB. Prior SETQ overrides D[10:6]. C,Z = OUT bit.		2	same	2	same	OUTx		
359	OUTC    {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001001010	.	OUT bits of pins D[10:6]+D[5:0]..D[5:0] = C.                  Wraps within OUTA/OUTB. Prior SETQ overrides D[10:6]. C,Z = OUT bit.		2	same	2	same	OUTx		
360	OUTNC   {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001001011	.	OUT bits of pins D[10:6]+D[5:0]..D[5:0] = !C.                 Wraps within OUTA/OUTB. Prior SETQ overrides D[10:6]. C,Z = OUT bit.		2	same	2	same	OUTx		
361	OUTZ    {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001001100	.	OUT bits of pins D[10:6]+D[5:0]..D[5:0] = Z.                  Wraps within OUTA/OUTB. Prior SETQ overrides D[10:6]. C,Z = OUT bit.		2	same	2	same	OUTx		
362	OUTNZ   {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001001101	.	OUT bits of pins D[10:6]+D[5:0]..D[5:0] = !Z.                 Wraps within OUTA/OUTB. Prior SETQ overrides D[10:6]. C,Z = OUT bit.		2	same	2	same	OUTx		
363	OUTRND  {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001001110	.	OUT bits of pins D[10:6]+D[5:0]..D[5:0] = RNDs.               Wraps within OUTA/OUTB. Prior SETQ overrides D[10:6]. C,Z = OUT bit.		2	same	2	same	OUTx		
364	OUTNOT  {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001001111	.	Toggle OUT bits of pins D[10:6]+D[5:0]..D[5:0].               Wraps within OUTA/OUTB. Prior SETQ overrides D[10:6]. C,Z = OUT bit.		2	same	2	same	OUTx		
365	FLTL    {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001010000	.	OUT bits of pins D[10:6]+D[5:0]..D[5:0] = 0.    DIR bits = 0. Wraps within OUTA/OUTB. Prior SETQ overrides D[10:6]. C,Z = OUT bit.		2	same	2	same	DIRx* + OUTx		
366	FLTH    {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001010001	.	OUT bits of pins D[10:6]+D[5:0]..D[5:0] = 1.    DIR bits = 0. Wraps within OUTA/OUTB. Prior SETQ overrides D[10:6]. C,Z = OUT bit.		2	same	2	same	DIRx* + OUTx		
367	FLTC    {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001010010	.	OUT bits of pins D[10:6]+D[5:0]..D[5:0] = C.    DIR bits = 0. Wraps within OUTA/OUTB. Prior SETQ overrides D[10:6]. C,Z = OUT bit.		2	same	2	same	DIRx* + OUTx		
368	FLTNC   {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001010011	.	OUT bits of pins D[10:6]+D[5:0]..D[5:0] = !C.   DIR bits = 0. Wraps within OUTA/OUTB. Prior SETQ overrides D[10:6]. C,Z = OUT bit.		2	same	2	same	DIRx* + OUTx		
369	FLTZ    {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001010100	.	OUT bits of pins D[10:6]+D[5:0]..D[5:0] = Z.    DIR bits = 0. Wraps within OUTA/OUTB. Prior SETQ overrides D[10:6]. C,Z = OUT bit.		2	same	2	same	DIRx* + OUTx		
370	FLTNZ   {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001010101	.	OUT bits of pins D[10:6]+D[5:0]..D[5:0] = !Z.   DIR bits = 0. Wraps within OUTA/OUTB. Prior SETQ overrides D[10:6]. C,Z = OUT bit.		2	same	2	same	DIRx* + OUTx		
371	FLTRND  {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001010110	.	OUT bits of pins D[10:6]+D[5:0]..D[5:0] = RNDs. DIR bits = 0. Wraps within OUTA/OUTB. Prior SETQ overrides D[10:6]. C,Z = OUT bit.		2	same	2	same	DIRx* + OUTx		
372	FLTNOT  {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001010111	.	Toggle OUT bits of pins D[10:6]+D[5:0]..D[5:0]. DIR bits = 0. Wraps within OUTA/OUTB. Prior SETQ overrides D[10:6]. C,Z = OUT bit.		2	same	2	same	DIRx* + OUTx		
373	DRVL    {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001011000	.	OUT bits of pins D[10:6]+D[5:0]..D[5:0] = 0.    DIR bits = 1. Wraps within OUTA/OUTB. Prior SETQ overrides D[10:6]. C,Z = OUT bit.		2	same	2	same	DIRx* + OUTx		
374	DRVH    {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001011001	.	OUT bits of pins D[10:6]+D[5:0]..D[5:0] = 1.    DIR bits = 1. Wraps within OUTA/OUTB. Prior SETQ overrides D[10:6]. C,Z = OUT bit.		2	same	2	same	DIRx* + OUTx		
375	DRVC    {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001011010	.	OUT bits of pins D[10:6]+D[5:0]..D[5:0] = C.    DIR bits = 1. Wraps within OUTA/OUTB. Prior SETQ overrides D[10:6]. C,Z = OUT bit.		2	same	2	same	DIRx* + OUTx		
376	DRVNC   {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001011011	.	OUT bits of pins D[10:6]+D[5:0]..D[5:0] = !C.   DIR bits = 1. Wraps within OUTA/OUTB. Prior SETQ overrides D[10:6]. C,Z = OUT bit.		2	same	2	same	DIRx* + OUTx		
377	DRVZ    {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001011100	.	OUT bits of pins D[10:6]+D[5:0]..D[5:0] = Z.    DIR bits = 1. Wraps within OUTA/OUTB. Prior SETQ overrides D[10:6]. C,Z = OUT bit.		2	same	2	same	DIRx* + OUTx		
378	DRVNZ   {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001011101	.	OUT bits of pins D[10:6]+D[5:0]..D[5:0] = !Z.   DIR bits = 1. Wraps within OUTA/OUTB. Prior SETQ overrides D[10:6]. C,Z = OUT bit.		2	same	2	same	DIRx* + OUTx		
379	DRVRND  {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001011110	.	OUT bits of pins D[10:6]+D[5:0]..D[5:0] = RNDs. DIR bits = 1. Wraps within OUTA/OUTB. Prior SETQ overrides D[10:6]. C,Z = OUT bit.		2	same	2	same	DIRx* + OUTx		
380	DRVNOT  {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001011111	.	Toggle OUT bits of pins D[10:6]+D[5:0]..D[5:0]. DIR bits = 1. Wraps within OUTA/OUTB. Prior SETQ overrides D[10:6]. C,Z = OUT bit.		2	same	2	same	DIRx* + OUTx		
381	SPLITB  D	Math and Logic	EEEE 1101011 000 DDDDDDDDD 001100000	.	Split every 4th bit of D into bytes. D = {D[31], D[27], D[23], D[19], ...D[12], D[8], D[4], D[0]}.		2	same	2	same	D		
382	MERGEB  D	Math and Logic	EEEE 1101011 000 DDDDDDDDD 001100001	.	Merge bits of bytes in D. D = {D[31], D[23], D[15], D[7], ...D[24], D[16], D[8], D[0]}.		2	same	2	same	D		
383	SPLITW  D	Math and Logic	EEEE 1101011 000 DDDDDDDDD 001100010	.	Split odd/even bits of D into words. D = {D[31], D[29], D[27], D[25], ...D[6], D[4], D[2], D[0]}.		2	same	2	same	D		
384	MERGEW  D	Math and Logic	EEEE 1101011 000 DDDDDDDDD 001100011	.	Merge bits of words in D. D = {D[31], D[15], D[30], D[14], ...D[17], D[1], D[16], D[0]}.		2	same	2	same	D		
385	SEUSSF  D	Math and Logic	EEEE 1101011 000 DDDDDDDDD 001100100	.	Relocate and periodically invert bits within D. Returns to original value on 32nd iteration. Forward pattern.		2	same	2	same	D		
386	SEUSSR  D	Math and Logic	EEEE 1101011 000 DDDDDDDDD 001100101	.	Relocate and periodically invert bits within D. Returns to original value on 32nd iteration. Reverse pattern.		2	same	2	same	D		
387	RGBSQZ  D	Math and Logic	EEEE 1101011 000 DDDDDDDDD 001100110	.	Squeeze 8:8:8 RGB value in D[31:8] into 5:6:5 value in D[15:0]. D = {15'b0, D[31:27], D[23:18], D[15:11]}.		2	same	2	same	D		
388	RGBEXP  D	Math and Logic	EEEE 1101011 000 DDDDDDDDD 001100111	.	Expand 5:6:5 RGB value in D[15:0] into 8:8:8 value in D[31:8]. D = {D[15:11,15:13], D[10:5,10:9], D[4:0,4:2], 8'b0}.		2	same	2	same	D		
389	XORO32  D	Math and Logic	EEEE 1101011 000 DDDDDDDDD 001101000	.	Iterate D with xoroshiro32+ PRNG algorithm and put PRNG result into next instruction's S.	✔	2	same	2	same	D		
390	REV     D	Math and Logic	EEEE 1101011 000 DDDDDDDDD 001101001	.	Reverse D bits. D = D[0:31].		2	same	2	same	D		
391	RCZR    D        {WC/WZ/WCZ}	Math and Logic	EEEE 1101011 CZ0 DDDDDDDDD 001101010	.	Rotate C,Z right through D. D = {C, Z, D[31:2]}. C = D[1],  Z = D[0].		2	same	2	same	D		
392	RCZL    D        {WC/WZ/WCZ}	Math and Logic	EEEE 1101011 CZ0 DDDDDDDDD 001101011	.	Rotate C,Z left through D.  D = {D[29:0], C, Z}. C = D[31], Z = D[30].		2	same	2	same	D		
393	WRC     D	Math and Logic	EEEE 1101011 000 DDDDDDDDD 001101100	.	Write 0 or 1 to D, according to  C. D = {31'b0,  C).		2	same	2	same	D		
394	WRNC    D	Math and Logic	EEEE 1101011 000 DDDDDDDDD 001101101	.	Write 0 or 1 to D, according to !C. D = {31'b0, !C).		2	same	2	same	D		
395	WRZ     D	Math and Logic	EEEE 1101011 000 DDDDDDDDD 001101110	.	Write 0 or 1 to D, according to  Z. D = {31'b0,  Z).		2	same	2	same	D		
396	WRNZ    D	Math and Logic	EEEE 1101011 000 DDDDDDDDD 001101111	.	Write 0 or 1 to D, according to !Z. D = {31'b0, !Z).		2	same	2	same	D		
397	MODCZ   c,z      {WC/WZ/WCZ}	Math and Logic	EEEE 1101011 CZ1 0cccczzzz 001101111	.	Modify C and Z according to cccc and zzzz. C = cccc[{C,Z}], Z = zzzz[{C,Z}].		2	same	2	same			
398	MODC    c               {WC}	Math and Logic	EEEE 1101011 C01 0cccc0000 001101111	alias	Modify C according to cccc. C = cccc[{C,Z}].		2	same	2	same			
399	MODZ    z               {WZ}	Math and Logic	EEEE 1101011 0Z1 00000zzzz 001101111	alias	Modify Z according to zzzz. Z = zzzz[{C,Z}].		2	same	2	same			
400	SETSCP  {#}D	Smart Pins	EEEE 1101011 00L DDDDDDDDD 001110000	.	Set four-channel oscilloscope enable to D[6] and set input pin base to D[5:2].		2	same	2	same			
401	GETSCP  D	Smart Pins	EEEE 1101011 000 DDDDDDDDD 001110001	.	Get four-channel oscilloscope samples into D. D = {ch3[7:0],ch2[7:0],ch1[7:0],ch0[7:0]}.		2	same	2	same			
402	JMP     #{\}A	Branch A - Jump	EEEE 1101100 RAA AAAAAAAAA AAAAAAAAA	.	Jump to A.                                                                  If R = 1 then PC += A, else PC = A. "\" forces R = 0.		4	13...20	4	13...28			
403	CALL    #{\}A	Branch A - Call	EEEE 1101101 RAA AAAAAAAAA AAAAAAAAA	.	Call to A by pushing {C, Z, 10'b0, PC[19:0]} onto stack.                    If R = 1 then PC += A, else PC = A. "\" forces R = 0.		4	13...20	4	13...28			Push
404	CALLA   #{\}A	Branch A - Call	EEEE 1101110 RAA AAAAAAAAA AAAAAAAAA	.	Call to A by writing {C, Z, 10'b0, PC[19:0]} to hub long at PTRA++.         If R = 1 then PC += A, else PC = A. "\" forces R = 0.		5...12 *	14...32 *	5...20 *	14...64 *		Write	
405	CALLB   #{\}A	Branch A - Call	EEEE 1101111 RAA AAAAAAAAA AAAAAAAAA	.	Call to A by writing {C, Z, 10'b0, PC[19:0]} to hub long at PTRB++.         If R = 1 then PC += A, else PC = A. "\" forces R = 0.		5...12 *	14...32 *	5...20 *	14...64 *		Write	
406	CALLD   PA/PB/PTRA/PTRB,#{\}A	Branch A - Call	EEEE 11100WW RAA AAAAAAAAA AAAAAAAAA	.	Call to A by writing {C, Z, 10'b0, PC[19:0]} to PA/PB/PTRA/PTRB (per W).    If R = 1 then PC += A, else PC = A. "\" forces R = 0.		4	13...20	4	13...28	Per W		
407	LOC     PA/PB/PTRA/PTRB,#{\}A	Math and Logic	EEEE 11101WW RAA AAAAAAAAA AAAAAAAAA	.	Get {12'b0, address[19:0]} into PA/PB/PTRA/PTRB (per W).          If R = 1, address = PC + A, else address = A. "\" forces R = 0.		2	same	2	same	Per W		
408	AUGS    #n	Miscellaneous	EEEE 11110nn nnn nnnnnnnnn nnnnnnnnn	.	Queue #%nn_nnn_nnnnnnnnn_nnnnnnnnn to be used as upper 23 bits for next #S occurrence, so that the next 9-bit #S will be augmented to 32 bits.	✔	2	same	2	same			
409	AUGD    #n	Miscellaneous	EEEE 11111nn nnn nnnnnnnnn nnnnnnnnn	.	Queue #%nn_nnn_nnnnnnnnn_nnnnnnnnn to be used as upper 23 bits for next #D occurrence, so that the next 9-bit #D will be augmented to 32 bits.	✔	2	same	2	same			
410	_RET_         <inst>  <ops>	Instruction Prefix	0000 ------- --- --------- ---------	.	Execute <inst> always and return if no branch. If <inst> is not branching then return by popping stack[19:0] into PC.		+2	+11...18	+2	+11...26			Pop
411	IF_NC_AND_NZ  <inst>  <ops>	Instruction Prefix	0001 ------- --- --------- ---------	.	Execute <inst> if C = 0 and Z = 0.								
412	IF_NZ_AND_NC  <inst>  <ops>	Instruction Prefix	0001 ------- --- --------- ---------	alias	Execute <inst> if C = 0 and Z = 0.								
413	IF_A          <inst>  <ops>	Instruction Prefix	0001 ------- --- --------- ---------	alias	Execute <inst> if C = 0 and Z = 0, or if 'above' after a comparison/subtraction.								
414	IF_00         <inst>  <ops>	Instruction Prefix	0001 ------- --- --------- ---------	alias	Execute <inst> if C = 0 and Z = 0.								
415	IF_NC_AND_Z   <inst>  <ops>	Instruction Prefix	0010 ------- --- --------- ---------	.	Execute <inst> if C = 0 and Z = 1.								
416	IF_Z_AND_NC   <inst>  <ops>	Instruction Prefix	0010 ------- --- --------- ---------	alias	Execute <inst> if C = 0 and Z = 1.								
417	IF_01         <inst>  <ops>	Instruction Prefix	0010 ------- --- --------- ---------	alias	Execute <inst> if C = 0 and Z = 1.								
418	IF_NC         <inst>  <ops>	Instruction Prefix	0011 ------- --- --------- ---------	.	Execute <inst> if C = 0.								
419	IF_AE         <inst>  <ops>	Instruction Prefix	0011 ------- --- --------- ---------	alias	Execute <inst> if C = 0, or if 'above or equal' after a comparison/subtraction.								
420	IF_0X         <inst>  <ops>	Instruction Prefix	0011 ------- --- --------- ---------	alias	Execute <inst> if C = 0.								
421	IF_C_AND_NZ   <inst>  <ops>	Instruction Prefix	0100 ------- --- --------- ---------	.	Execute <inst> if C = 1 and Z = 0.								
422	IF_NZ_AND_C   <inst>  <ops>	Instruction Prefix	0100 ------- --- --------- ---------	alias	Execute <inst> if C = 1 and Z = 0.								
423	IF_10         <inst>  <ops>	Instruction Prefix	0100 ------- --- --------- ---------	alias	Execute <inst> if C = 1 and Z = 0.								
424	IF_NZ         <inst>  <ops>	Instruction Prefix	0101 ------- --- --------- ---------	.	Execute <inst> if Z = 0.								
425	IF_NE         <inst>  <ops>	Instruction Prefix	0101 ------- --- --------- ---------	alias	Execute <inst> if Z = 0, or if 'not equal' after a comparison/subtraction.								
426	IF_X0         <inst>  <ops>	Instruction Prefix	0101 ------- --- --------- ---------	alias	Execute <inst> if Z = 0.								
427	IF_C_NE_Z     <inst>  <ops>	Instruction Prefix	0110 ------- --- --------- ---------	.	Execute <inst> if C != Z.								
428	IF_Z_NE_C     <inst>  <ops>	Instruction Prefix	0110 ------- --- --------- ---------	alias	Execute <inst> if C != Z.								
429	IF_DIFF       <inst>  <ops>	Instruction Prefix	0110 ------- --- --------- ---------	alias	Execute <inst> if C != Z.								
430	IF_NC_OR_NZ   <inst>  <ops>	Instruction Prefix	0111 ------- --- --------- ---------	.	Execute <inst> if C = 0 or Z = 0.								
431	IF_NZ_OR_NC   <inst>  <ops>	Instruction Prefix	0111 ------- --- --------- ---------	alias	Execute <inst> if C = 0 or Z = 0.								
432	IF_NOT_11     <inst>  <ops>	Instruction Prefix	0111 ------- --- --------- ---------	alias	Execute <inst> if C = 0 or Z = 0.								
433	IF_C_AND_Z    <inst>  <ops>	Instruction Prefix	1000 ------- --- --------- ---------	.	Execute <inst> if C = 1 and Z = 1.								
434	IF_Z_AND_C    <inst>  <ops>	Instruction Prefix	1000 ------- --- --------- ---------	alias	Execute <inst> if C = 1 and Z = 1.								
435	IF_11         <inst>  <ops>	Instruction Prefix	1000 ------- --- --------- ---------	alias	Execute <inst> if C = 1 and Z = 1.								
436	IF_C_EQ_Z     <inst>  <ops>	Instruction Prefix	1001 ------- --- --------- ---------	.	Execute <inst> if C = Z.								
437	IF_Z_EQ_C     <inst>  <ops>	Instruction Prefix	1001 ------- --- --------- ---------	alias	Execute <inst> if C = Z.								
438	IF_SAME       <inst>  <ops>	Instruction Prefix	1001 ------- --- --------- ---------	alias	Execute <inst> if C = Z.								
439	IF_Z          <inst>  <ops>	Instruction Prefix	1010 ------- --- --------- ---------	.	Execute <inst> if Z = 1.								
440	IF_E          <inst>  <ops>	Instruction Prefix	1010 ------- --- --------- ---------	alias	Execute <inst> if Z = 1, or if 'equal' after a comparison/subtraction.								
441	IF_X1         <inst>  <ops>	Instruction Prefix	1010 ------- --- --------- ---------	alias	Execute <inst> if Z = 1.								
442	IF_NC_OR_Z    <inst>  <ops>	Instruction Prefix	1011 ------- --- --------- ---------	.	Execute <inst> if C = 0 or Z = 1.								
443	IF_Z_OR_NC    <inst>  <ops>	Instruction Prefix	1011 ------- --- --------- ---------	alias	Execute <inst> if C = 0 or Z = 1.								
444	IF_NOT_10     <inst>  <ops>	Instruction Prefix	1011 ------- --- --------- ---------	alias	Execute <inst> if C = 0 or Z = 1.								
445	IF_C          <inst>  <ops>	Instruction Prefix	1100 ------- --- --------- ---------	.	Execute <inst> if C = 1.								
446	IF_B          <inst>  <ops>	Instruction Prefix	1100 ------- --- --------- ---------	alias	Execute <inst> if C = 1, or if 'below' after a comparison/subtraction.								
447	IF_1X         <inst>  <ops>	Instruction Prefix	1100 ------- --- --------- ---------	alias	Execute <inst> if C = 1.								
448	IF_C_OR_NZ    <inst>  <ops>	Instruction Prefix	1101 ------- --- --------- ---------	.	Execute <inst> if C = 1 or Z = 0.								
449	IF_NZ_OR_C    <inst>  <ops>	Instruction Prefix	1101 ------- --- --------- ---------	alias	Execute <inst> if C = 1 or Z = 0.								
450	IF_NOT_01     <inst>  <ops>	Instruction Prefix	1101 ------- --- --------- ---------	alias	Execute <inst> if C = 1 or Z = 0.								
451	IF_C_OR_Z     <inst>  <ops>	Instruction Prefix	1110 ------- --- --------- ---------	.	Execute <inst> if C = 1 or Z = 1.								
452	IF_Z_OR_C     <inst>  <ops>	Instruction Prefix	1110 ------- --- --------- ---------	alias	Execute <inst> if C = 1 or Z = 1.								
453	IF_BE         <inst>  <ops>	Instruction Prefix	1110 ------- --- --------- ---------	alias	Execute <inst> if C = 1 or Z = 1, or if 'below or equal' after a comparison/subtraction.								
454	IF_NOT_00     <inst>  <ops>	Instruction Prefix	1110 ------- --- --------- ---------	alias	Execute <inst> if C = 1 or Z = 1.								
455	              <inst>  <ops>	Instruction Prefix	1111 ------- --- --------- ---------	.	Execute <inst> always. This is the default when no instruction prefix is expressed.								